molecule_chembl_id,canonical_smiles,standard_value
CHEMBL1956289,CCC(F)(F)c1nc2nc(C)cc(Nc3ccc(S(F)(F)(F)(F)F)cc3)n2n1,75.0
CHEMBL1956288,CCC(F)(F)c1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,19.0
CHEMBL1956287,CCC(F)(F)c1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,30.0
CHEMBL1956286,CCC(F)(F)c1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,34.0
CHEMBL1956285,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(C(C)(F)F)nc2n1,33.0
CHEMBL1738786,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(C(C)(F)F)nc2n1,38.0
CHEMBL1956284,Cc1cc(Nc2cccc(Cl)c2)n2nc(C(C)(F)F)nc2n1,54.0
CHEMBL1956283,Cc1cc(Nc2ccc(Cl)cc2)n2nc(C(C)(F)F)nc2n1,38.0
CHEMBL1956282,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(CC3CC3)nc2n1,5700.0
CHEMBL1956281,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(CC3CC3)nc2n1,1700.0
CHEMBL1955870,Cc1cc(Nc2cccc(Cl)c2)n2nc(CC3CC3)nc2n1,10000.0
CHEMBL1956280,Cc1cc(Nc2ccc(Cl)cc2)n2nc(CC3CC3)nc2n1,12000.0
CHEMBL1956279,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(C3CC3)nc2n1,93.0
CHEMBL1956278,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(C3CC3)nc2n1,140.0
CHEMBL1956277,Cc1cc(Nc2cccc(Cl)c2)n2nc(C3CC3)nc2n1,820.0
CHEMBL1956276,Cc1cc(Nc2ccc(Cl)cc2)n2nc(C3CC3)nc2n1,880.0
CHEMBL1956275,CCC(C)c1nc2nc(C)cc(Nc3ccc(S(F)(F)(F)(F)F)cc3)n2n1,330.0
CHEMBL1956274,CCC(C)c1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,380.0
CHEMBL1956273,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(C(C)(C)C)nc2n1,550.0
CHEMBL1956272,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(C(C)(C)C)nc2n1,460.0
CHEMBL1956271,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(CC(C)C)nc2n1,10000.0
CHEMBL1956270,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(CC(C)C)nc2n1,2000.0
CHEMBL1956261,Cc1cc(Nc2cccc(Cl)c2)n2nc(CC(C)C)nc2n1,10000.0
CHEMBL1956260,Cc1cc(Nc2ccc(Cl)cc2)n2nc(CC(C)C)nc2n1,10000.0
CHEMBL1956269,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(C(C)C)nc2n1,100.0
CHEMBL1956268,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(C(C)C)nc2n1,110.0
CHEMBL1956267,Cc1cc(Nc2cccc(Cl)c2)n2nc(C(C)C)nc2n1,120.0
CHEMBL1956266,Cc1cc(Nc2ccc(Cl)cc2)n2nc(C(C)C)nc2n1,330.0
CHEMBL1956265,CCc1nc2nc(C)cc(Nc3ccc(S(F)(F)(F)(F)F)cc3)n2n1,150.0
CHEMBL1956264,CCc1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,87.0
CHEMBL1956263,CCc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,240.0
CHEMBL1956262,CCc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,280.0
CHEMBL2012819,NC(=O)c1ccc(-n2cnc3ccccc32)s1,30000.0
CHEMBL2012820,CNC(=O)c1ccc(-n2cnc3ccccc32)s1,1080.0
CHEMBL2012821,CCNC(=O)c1ccc(-n2cnc3ccccc32)s1,140.0
CHEMBL2012822,CCCNC(=O)c1ccc(-n2cnc3ccccc32)s1,700.0
CHEMBL2012823,CC(C)NC(=O)c1ccc(-n2cnc3ccccc32)s1,680.0
CHEMBL2012824,O=C(NC1CC1)c1ccc(-n2cnc3ccccc32)s1,60.0
CHEMBL2012825,O=C(NC1CCC1)c1ccc(-n2cnc3ccccc32)s1,420.0
CHEMBL2012826,CCCCNC(=O)c1ccc(-n2cnc3ccccc32)s1,28600.0
CHEMBL2012827,O=C(NC1CCCC1)c1ccc(-n2cnc3ccccc32)s1,2510.0
CHEMBL2012828,CN(C)C(=O)c1ccc(-n2cnc3ccccc32)s1,30000.0
CHEMBL2012829,Cc1nc2ccccc2n1-c1ccc(C(=O)NC2CC2)s1,80.0
CHEMBL2012830,CCc1nc2ccccc2n1-c1ccc(C(=O)NC2CC2)s1,110.0
CHEMBL2012831,CCCc1nc2ccccc2n1-c1ccc(C(=O)NC2CC2)s1,180.0
CHEMBL2012940,O=C(NC1CC1)c1ccc(-n2c(=O)[nH]c3ccccc32)s1,30000.0
CHEMBL2012941,O=C(NC1CC1)c1ccc(-n2c(C(F)(F)F)nc3ccccc32)s1,570.0
CHEMBL2012942,CN(C)c1nc2ccccc2n1-c1ccc(C(=O)NC2CC2)s1,5600.0
CHEMBL2012943,Cc1cccc2c1nc(C)n2-c1ccc(C(=O)NC2CC2)s1,39.0
CHEMBL2012944,Cc1ccc2c(c1)nc(C)n2-c1ccc(C(=O)NC2CC2)s1,56.0
CHEMBL2012945,Cc1ccc2nc(C)n(-c3ccc(C(=O)NC4CC4)s3)c2c1,56.0
CHEMBL2012946,Cc1cccc2nc(C)n(-c3ccc(C(=O)NC4CC4)s3)c12,609.0
CHEMBL1234899,Cc1nc2cc(OC(F)(F)F)ccc2n1-c1ccc(C(=O)NC2CC2)s1,22.0
CHEMBL2012947,Cc1nc2ccc(OC(F)(F)F)cc2n1-c1ccc(C(=O)NC2CC2)s1,52.0
